site,Lat,Long
UVA_PAIN,38.19862,-78.79346
UVA_WOR1,38.25083,-78.74886
UVA_NFDR,38.63372,-78.35773
UVA_STAN,38.44449,-78.37085
UVA_PINE,38.70178,-78.26776
